fecha,dispositivos_android,dispositivos_ios,cuentas_pago,cuentas_cobro,diferencia_pago_cobro,cuentas_bbva,cuentas_bancoppel,cuentas_azteca,cuentas_otros,cuentas_stp,monto_bbva,monto_bancoppel,monto_azteca,monto_otros,monto_stp,operaciones_bbva,operaciones_bancoppel,operaciones_azteca,operaciones_otros,operaciones_stp,tasa_activacion_total,ops_por_cuenta_bbva,monto_por_operacion_bbva,ops_por_cuenta_bancoppel,monto_por_operacion_bancoppel,ops_por_cuenta_azteca,monto_por_operacion_azteca,ops_por_cuenta_otros,monto_por_operacion_otros,ops_por_cuenta_stp,monto_por_operacion_stp,dispositivos_totales,proporcion_android,delta_cuentas_pago,delta_cuentas_cobro,delta_dispositivos_android,delta_dispositivos_ios,cuentas_total,cuentas_bbva_scaling,cuentas_bancoppel_scaling,cuentas_azteca_scaling,cuentas_otros_scaling,cuentas_stp_scaling,monto_bbva_scaling,monto_bancoppel_scaling,monto_azteca_scaling,monto_otros_scaling,monto_stp_scaling,operaciones_bbva_scaling,operaciones_bancoppel_scaling,operaciones_azteca_scaling,operaciones_otros_scaling,operaciones_stp_scaling
2023-05-01,17018006.0,6503404.0,1418295.0,882183.0,536112.0,242801.0,20152.0,11433.0,25987.0,35228.0,60612497.0,68383206.0,18413985.5,139670712.5,80632328.0,68895.5,71362.5,22742.5,134153.0,35253.0,4.226134606273521,0.28375294994666417,879.7743974570183,3.541211790393013,958.2512664214398,1.9891979357998775,809.6728811696164,5.162311925193366,1041.1299970928715,1.0007096627682526,2287.247269735909,23521410.0,0.7235113031064039,0.02948371024827323,0.016642043372338877,0.01834943196132066,0.016073207721801763,335601.0,0.5951840687248797,0.08569774174869715,0.5946315609505898,0.23762407889899456,0.515630616263941,0.6583910341394807,0.5757085106985995,0.5093434037234464,1.0,0.7329086369761005,0.5957573324253035,0.532859236314982,0.484476459729161,0.8941602913555362,0.47596289007590664
2023-06-01,17335498.0,6529526.0,1460038.0,895682.0,564356.0,245901.0,17447.0,10620.0,26256.0,34560.0,57305100.5,59978949.5,19424213.5,112645849.0,67855240.0,68144.0,67143.5,25240.0,128658.5,36533.0,4.361134343337794,0.2771196538444333,840.9412494130078,3.8484266636097897,893.2949503674964,2.376647834274953,769.5805665610143,4.9001561547836685,875.5414449880886,1.0570891203703703,1857.368406646046,23865024.0,0.7263976772032578,0.02943181778120918,0.015301813796003705,0.01865623974982733,0.004016665733821867,334784.0,0.603741552934941,0.0665965229426469,0.5251325012822704,0.24192388229088407,0.5122488343483741,0.6177163654482527,0.4832248221021214,0.5468496344784606,0.6529595015176278,0.610064478461636,0.5881187011785752,0.4915039919230335,0.5489588577772614,0.8312336799670164,0.49441693158308286
2023-07-01,17646067.0,6707819.0,1496249.0,908270.0,587979.0,207193.0,17116.0,10902.0,26165.0,28391.0,57187271.0,61844497.5,20341480.5,102436550.5,52270080.0,63590.0,67191.0,24210.5,118694.5,34525.5,5.163628018373383,0.30691191304725546,899.3123289825444,3.925625146062164,920.4282939679422,2.22073931388736,840.1924991222817,4.536384483088095,863.0269346936884,1.2160719946461906,1513.955771820828,24353886.0,0.7245688429353738,0.024801409278388586,0.014054095091784902,0.01791520497420951,0.027305657409128825,289767.0,0.49688894041782616,0.06425918341406922,0.5492391861856728,0.2404693019612858,0.4810179771071589,0.6162672873366466,0.5037540337336064,0.5809045485829594,0.5218565251567912,0.4602223653359151,0.541829510629539,0.49196959375015314,0.5223784258291054,0.7171194282834761,0.4654743625786639
2023-08-01,17941069.0,6904966.0,1539651.0,927101.0,612550.0,197731.0,17714.0,12655.0,29510.0,34330.0,60911343.5,68451563.0,22402923.5,102207972.5,50544007.5,72885.0,77169.0,28201.0,125524.5,35089.0,5.2738610673426045,0.3686068446525836,835.7185086094532,4.356384780399684,887.0344698000492,2.2284472540497826,794.4017410730116,4.253625889528974,814.2471987540281,1.0221089426157879,1440.45163726524,24846035.0,0.7220898223801101,0.029007204014839694,0.020732821738029372,0.01671771959156687,0.02939062607384013,291940.0,0.4707692902256968,0.06848192975270806,0.6990938621986663,0.2939371173734435,0.5110844483594814,0.6620662760940008,0.5764607375614266,0.6574387139855306,0.518921234732027,0.4436271971882544,0.636308655590736,0.5897753838764538,0.6254082594270813,0.7953410600577213,0.47359846600779965
2023-09-01,18227346.0,7046289.0,1578377.0,940214.0,638163.0,45466.0,16339.0,4477.0,23435.0,26926.0,62327624.5,68381737.5,22243817.0,100756754.0,46262153.0,73219.5,76054.5,29391.0,126612.0,34606.5,13.531690714402064,1.6104231733603132,851.2435143643428,4.6547830344574335,899.1149438889217,6.564887201250838,756.824095811643,5.402688286750586,795.7915047546836,1.2852447448562727,1336.8053111409706,25273635.0,0.7212000173303128,0.025152453380668627,0.014144090018239686,0.015956518532981523,0.020466863993247708,116643.0,0.050444989178923205,0.05877243775332947,0.0,0.1968318920733364,0.47360134461268977,0.6794838310949451,0.5756923507567053,0.6515316463694848,0.5002853740311269,0.4024596938468144,0.6397086850678226,0.5788508946906689,0.6561326052437938,0.8077958220715562,0.4666421573927899
2023-10-01,18452822.0,7133646.0,1617380.0,951272.0,666108.0,46207.0,22801.0,4699.0,38055.0,37774.0,68398998.0,69998589.5,20934018.5,104438536.5,54125190.5,76777.5,72538.5,25212.0,129101.5,37298.0,10.81599079820244,1.6615988919427793,890.8729510598808,3.1813736239638613,964.9853457129663,5.365396892955948,830.3196295414882,3.3924977006963606,808.9645472748186,0.9873987398739874,1451.1553032334173,25586468.0,0.7211945783216347,0.02471082637418065,0.011761152248317863,0.012370204636484194,0.012397589709987722,149536.0,0.05249050395300561,0.10440351942604542,0.018977603009061372,0.4305238087626477,0.5285198629062061,0.754150145101506,0.5934848154291714,0.6029034111754777,0.5475650812571663,0.47805815767951076,0.6758740210303766,0.5443865573400902,0.5482359319933388,0.8363072060103531,0.5054461048276061
2023-11-01,18672046.0,7219981.0,1655373.0,961942.0,693431.0,59956.0,17223.0,7221.0,29821.0,31862.0,74181966.0,79359439.5,21525400.5,106058120.5,76599351.5,75358.0,73070.5,25308.0,127694.0,37793.5,11.331729222428345,1.2568883848155314,984.3940391199342,4.242611623991174,1086.0667369184555,3.5047777316161195,850.5373992413466,4.282016028972872,830.5646349867652,1.1861621994852802,2026.7863918398666,25892027.0,0.7211504143727333,0.023490459879558223,0.011216560563119593,0.011880242490823312,0.01210250690880943,146083.0,0.09044432666401661,0.06501475842783905,0.23457001196785776,0.29890826553283995,0.4985900804438842,0.8252696215392337,0.6964952288308022,0.6248593555329512,0.5683630119735997,0.6941339486863188,0.661445495342112,0.5496012978038296,0.5507145346810736,0.8201875944844015,0.5125898373016731
2023-12-01,18894750.0,7129734.0,1697977.0,973330.0,724647.0,83374.0,16373.0,7323.0,28023.0,33486.0,88389891.0,90721016.5,23689089.0,117634002.5,69604555.0,82537.0,76854.5,26855.0,137145.5,42247.0,10.072292515675143,0.9899608990812484,1070.9123302276555,4.693977890429365,1180.4255638902082,3.667212890891711,882.1109290634892,4.894033472504728,857.7314056968694,1.2616317266917518,1647.562075413639,26024484.0,0.7260374499644258,0.025736797688496793,0.011838551596665914,0.011927134284052121,-0.012499617381264594,168579.0,0.15508921867408684,0.05901252701004137,0.2432894511882373,0.2701683157238535,0.5068116580350227,1.0,0.8215224158559611,0.7051895385836788,0.717015006447249,0.6268831095262206,0.7344165315633528,0.5866926096737356,0.5906561842427998,0.9284323606211919,0.5767969262487115
2024-01-01,19124479.0,7675596.0,1747888.0,983091.0,764797.0,103755.0,19383.0,11184.0,32590.0,39018.0,79961158.0,85984728.5,24220980.5,106009788.0,61997910.5,84156.5,77879.0,29238.5,131680.0,45939.0,8.487777400087408,0.8111078984145342,950.1483307884715,4.017902285507919,1104.0810552266978,2.614315092989986,828.3934025343298,4.040503221847192,805.0561057108141,1.1773796709211133,1349.5703106293129,26800075.0,0.7135979656773349,0.02939439109010311,0.01002845900157201,0.012158350864658107,0.07656134155916616,205930.0,0.21135053663707434,0.08026748767777195,0.5733458710890751,0.34316906699061717,0.5348176723417827,0.8963426603789961,0.7694024710999632,0.7249368088391367,0.5677423488981731,0.5537497130339072,0.7508779597790234,0.5967349059239255,0.652195241599215,0.8658378762197076,0.6300253022209727
2024-02-01,19331135.0,7747889.0,1791353.0,992147.0,799206.0,84253.0,19081.0,9077.0,26298.0,34083.0,80576831.0,86360318.5,24234728.0,104755229.5,76794428.5,81112.0,72709.5,28576.5,126219.0,43541.0,10.36710611602389,0.9627194283883066,993.402098333169,3.8105707248047795,1187.7446344700486,3.1482317946458083,848.0649484716463,4.799566506958704,829.9481813356151,1.277499046445442,1763.7267977308743,27079024.0,0.7138785725807547,0.024867153959521326,0.009211761678217023,0.010805836854431483,0.009418551992574908,172792.0,0.15751567951945586,0.07813493016227208,0.39322961189947003,0.24259522705839098,0.509833999058366,0.9039142639944484,0.7735356087070735,0.7254472054103113,0.5516319027819402,0.6960094988829306,0.7199321010555846,0.5460627239177208,0.6351032105650439,0.8032949287644877,0.5954528088348724
