fecha,banco,monto,cuentas,operaciones,dispositivos_android,dispositivos_ios
2023-12-01,bancoppel,90721016.5,16373.0,76854.5,18894750.0,7129734.0
2024-01-01,bancoppel,85984728.5,19383.0,77879.0,19124479.0,7675596.0
2024-02-01,bancoppel,86360318.5,19081.0,72709.5,19331135.0,7747889.0
2024-03-01,bancoppel,94789902.5,19831.0,81035.0,19542150.0,7830447.0
2024-04-01,bancoppel,92069533.5,19019.0,76540.5,19748791.0,7928203.0
2024-05-01,bancoppel,106939783.5,15007.0,78307.5,19953971.0,8014343.0
2024-06-01,bancoppel,85176228.0,14865.0,71222.5,20128586.0,8092054.0
2024-07-01,bancoppel,74430252.5,14241.0,63103.5,20323689.0,8176344.0
2024-08-01,bancoppel,78068919.5,14218.0,63848.0,20513207.0,8265964.0
2024-09-01,bancoppel,62441644.0,13295.0,49523.5,20647479.0,8349754.0
2024-10-01,bancoppel,66718814.5,22046.0,51251.5,20800199.0,8438737.0
2024-11-01,bancoppel,64029341.5,11587.0,50257.5,20940375.0,8526816.0
2024-12-01,bancoppel,66253934.5,11444.0,50346.0,21087465.0,8613792.0
2025-01-01,bancoppel,57135796.0,12144.0,50629.5,21244502.0,8707062.0
2025-02-01,bancoppel,55264590.0,8016.0,45991.5,21378314.0,8787420.0
2025-03-01,bancoppel,63498242.5,12197.0,57424.5,21531889.0,8841101.0
2025-04-01,bancoppel,39889809.0,8211.0,36432.5,21629785.0,8903455.0
2020-09-01,azteca,4694852.5,8338.0,3978.0,4938701.0,1597143.0
2020-10-01,azteca,5253843.0,9623.0,7927.0,5575963.0,1757739.0
2020-11-01,azteca,5605482.5,16175.0,7602.5,6142203.0,1908697.0
2020-12-01,azteca,6287716.5,12643.0,8208.0,6682017.0,2073589.0
2021-01-01,azteca,5370838.5,11968.0,7028.0,7248995.0,2232731.0
2021-02-01,azteca,5301059.0,10162.0,7078.5,7669462.0,2372193.0
2021-03-01,azteca,6251683.0,8514.0,7895.0,8106512.0,2531450.0
